"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.GT-LJ001-0072","Answer.GT-LJ001-0173","Answer.bad-LJ001-0015","Answer.bad-LJ001-0051","Answer.dw-LJ001-0102","Approve","Reject"
"3NQUW096N61GG8C1J46GN1IMRX49LB","3KTTL66PWHEWHAEXOC1U8773KLQHVI","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.01","Fri Oct 18 07:01:28 PDT 2019","103","BatchId:3805681;OriginalHitTemplateId:928390811;","1800","604800","Fri Oct 25 07:01:28 PDT 2019","","","32KTQ2V7RE939ASF9ICWCYTZPPL9MU","A3S1JWDIQBHVEH","Submitted","Fri Oct 18 12:19:37 PDT 2019","Fri Oct 18 12:20:04 PDT 2019","Fri Oct 25 12:20:04 PDT 2019","","","","27","0% (0/0)","0% (0/0)","0% (0/0)","1","1","1","1","5","","Sorry, you did not pass our hidden quality assurance tests."
"3NQUW096N61GG8C1J46GN1IMRX49LB","3KTTL66PWHEWHAEXOC1U8773KLQHVI","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.01","Fri Oct 18 07:01:28 PDT 2019","103","BatchId:3805681;OriginalHitTemplateId:928390811;","1800","604800","Fri Oct 25 07:01:28 PDT 2019","","","336YQZE83W8K8NQ36SZF0IOX3SK5MF","AUA2P8CCPR5GS","Submitted","Fri Oct 18 07:31:57 PDT 2019","Fri Oct 18 07:32:24 PDT 2019","Fri Oct 25 07:32:24 PDT 2019","","","","27","0% (0/1)","0% (0/1)","0% (0/1)","3","2","2","2","4","","Sorry, you did not pass our hidden quality assurance tests."
"3NQUW096N61GG8C1J46GN1IMRX49LB","3KTTL66PWHEWHAEXOC1U8773KLQHVI","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.01","Fri Oct 18 07:01:28 PDT 2019","103","BatchId:3805681;OriginalHitTemplateId:928390811;","1800","604800","Fri Oct 25 07:01:28 PDT 2019","","","378XPAWRUD7VIACTG9S4G0X2EXEAIN","A275STSZHFODG6","Submitted","Fri Oct 18 08:33:03 PDT 2019","Fri Oct 18 08:33:13 PDT 2019","Fri Oct 25 08:33:13 PDT 2019","","","","10","0% (0/3)","0% (0/3)","0% (0/3)","3","3","2","4","4","","Sorry, you did not pass our hidden quality assurance tests."
"3NQUW096N61GG8C1J46GN1IMRX49LB","3KTTL66PWHEWHAEXOC1U8773KLQHVI","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.01","Fri Oct 18 07:01:28 PDT 2019","103","BatchId:3805681;OriginalHitTemplateId:928390811;","1800","604800","Fri Oct 25 07:01:28 PDT 2019","","","37Z929RLGA2PRKEYRLDZF7THBMOTSA","AQ66O3UMAR84P","Submitted","Fri Oct 18 14:18:20 PDT 2019","Fri Oct 18 14:18:48 PDT 2019","Fri Oct 25 14:18:48 PDT 2019","","","","28","0% (0/0)","0% (0/0)","0% (0/0)","1","5","2","1","5","","Sorry, you did not pass our hidden quality assurance tests."
"3NQUW096N61GG8C1J46GN1IMRX49LB","3KTTL66PWHEWHAEXOC1U8773KLQHVI","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.01","Fri Oct 18 07:01:28 PDT 2019","103","BatchId:3805681;OriginalHitTemplateId:928390811;","1800","604800","Fri Oct 25 07:01:28 PDT 2019","","","384PI804XTVOBBH7TJPPVWRCEBQ0S4","A2V5XDYKKJVE4C","Submitted","Fri Oct 18 14:10:15 PDT 2019","Fri Oct 18 14:10:41 PDT 2019","Fri Oct 25 14:10:41 PDT 2019","","","","26","0% (0/0)","0% (0/0)","0% (0/0)","5","1","1","1","5","","Sorry, you did not pass our hidden quality assurance tests."
"3NQUW096N61GG8C1J46GN1IMRX49LB","3KTTL66PWHEWHAEXOC1U8773KLQHVI","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.01","Fri Oct 18 07:01:28 PDT 2019","103","BatchId:3805681;OriginalHitTemplateId:928390811;","1800","604800","Fri Oct 25 07:01:28 PDT 2019","","","3K9FOBBF2ID4SUEOAGUMUM9UU87LNW","AME98XVLFFLCH","Submitted","Fri Oct 18 08:34:48 PDT 2019","Fri Oct 18 08:37:52 PDT 2019","Fri Oct 25 08:37:52 PDT 2019","","","","184","0% (0/1)","0% (0/1)","0% (0/1)","1","1","4","5","1","","Sorry, you did not pass our hidden quality assurance tests."
"3NQUW096N61GG8C1J46GN1IMRX49LB","3KTTL66PWHEWHAEXOC1U8773KLQHVI","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.01","Fri Oct 18 07:01:28 PDT 2019","103","BatchId:3805681;OriginalHitTemplateId:928390811;","1800","604800","Fri Oct 25 07:01:28 PDT 2019","","","3NLZY2D53QJPVRRGQ8M3YG4ZZIDQL5","A107IP0ASI3XB0","Rejected","Fri Oct 18 07:06:26 PDT 2019","Fri Oct 18 07:06:56 PDT 2019","Fri Oct 25 07:06:56 PDT 2019","","Fri Oct 18 07:15:35 PDT 2019","Sorry, you did not pass our hidden quality assurance tests.","30","0% (0/9)","0% (0/9)","0% (0/9)","2","2","3","2","3","","Sorry, you did not pass our hidden quality assurance tests."
"3NQUW096N61GG8C1J46GN1IMRX49LB","3KTTL66PWHEWHAEXOC1U8773KLQHVI","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.01","Fri Oct 18 07:01:28 PDT 2019","103","BatchId:3805681;OriginalHitTemplateId:928390811;","1800","604800","Fri Oct 25 07:01:28 PDT 2019","","","3SEPORI8WOTHD013GDGQGV0SABGZAB","ABK10CBIHVDHY","Submitted","Fri Oct 18 11:49:01 PDT 2019","Fri Oct 18 11:49:19 PDT 2019","Fri Oct 25 11:49:19 PDT 2019","","","","18","0% (0/2)","0% (0/2)","0% (0/2)","2","3","3","3","4","","Sorry, you did not pass our hidden quality assurance tests."
"3NQUW096N61GG8C1J46GN1IMRX49LB","3KTTL66PWHEWHAEXOC1U8773KLQHVI","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.01","Fri Oct 18 07:01:28 PDT 2019","103","BatchId:3805681;OriginalHitTemplateId:928390811;","1800","604800","Fri Oct 25 07:01:28 PDT 2019","","","3T3IWE1XG7HDE4ZLZHOUK7EGTVZTQB","A1XCQA727LJVL2","Rejected","Fri Oct 18 07:06:40 PDT 2019","Fri Oct 18 07:10:02 PDT 2019","Fri Oct 25 07:10:02 PDT 2019","","Fri Oct 18 07:15:36 PDT 2019","Sorry, you did not pass our hidden quality assurance tests.","202","0% (0/2)","0% (0/2)","0% (0/2)","1","1","1","1","1","","Sorry, you did not pass our hidden quality assurance tests."
"3NQUW096N61GG8C1J46GN1IMRX49LB","3KTTL66PWHEWHAEXOC1U8773KLQHVI","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.01","Fri Oct 18 07:01:28 PDT 2019","103","BatchId:3805681;OriginalHitTemplateId:928390811;","1800","604800","Fri Oct 25 07:01:28 PDT 2019","","","3TYCR1GOTDDY9JS7D45GP9G34MZZLB","A1H6PVWRCYN0E4","Submitted","Fri Oct 18 10:06:51 PDT 2019","Fri Oct 18 10:07:33 PDT 2019","Fri Oct 25 10:07:33 PDT 2019","","","","42","0% (0/3)","0% (0/3)","0% (0/3)","1","1","1","1","1","","Sorry, you did not pass our hidden quality assurance tests."
