"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.GT-LJ001-0063","Answer.GT-LJ001-0096","Answer.bad-LJ001-0051","Answer.bad-LJ001-0072","Answer.wg-LJ001-0079","Approve","Reject"
"3K8CQCU3KEUHG4SUOSWNEDUMUUVWNY","3HSQTUGQM2AKK76J15EGVP65ET09G1","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Sat Oct 19 21:43:08 PDT 2019","109","BatchId:3807388;OriginalHitTemplateId:928390811;","1800","604800","Sat Oct 26 21:43:08 PDT 2019","","","30IQTZXKAL0W7S36NTVCU484UV9X01","A2VX9QCUTQ2R04","Submitted","Sat Oct 19 21:44:45 PDT 2019","Sat Oct 19 21:45:24 PDT 2019","Sat Oct 26 21:45:24 PDT 2019","","","","39","0% (0/0)","0% (0/0)","0% (0/0)","5","5","1","1","4"
"3K8CQCU3KEUHG4SUOSWNEDUMUUVWNY","3HSQTUGQM2AKK76J15EGVP65ET09G1","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Sat Oct 19 21:43:08 PDT 2019","109","BatchId:3807388;OriginalHitTemplateId:928390811;","1800","604800","Sat Oct 26 21:43:08 PDT 2019","","","30LB5CDZND4LCN3LOBJXRPOF2VA0Z4","A3M7ENYG95EEMV","Submitted","Sat Oct 19 21:59:05 PDT 2019","Sat Oct 19 22:00:08 PDT 2019","Sat Oct 26 22:00:08 PDT 2019","","","","63","0% (0/3)","0% (0/3)","0% (0/3)","4","4","2","2","5"
"3K8CQCU3KEUHG4SUOSWNEDUMUUVWNY","3HSQTUGQM2AKK76J15EGVP65ET09G1","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Sat Oct 19 21:43:08 PDT 2019","109","BatchId:3807388;OriginalHitTemplateId:928390811;","1800","604800","Sat Oct 26 21:43:08 PDT 2019","","","30OG32W0SV5QMO4WTU7IHRJAMIANEU","A1QXU4Q3CK75FK","Submitted","Sat Oct 19 21:48:48 PDT 2019","Sat Oct 19 21:49:46 PDT 2019","Sat Oct 26 21:49:46 PDT 2019","","","","58","0% (0/3)","0% (0/3)","0% (0/3)","5","4","2","2","4"
"3K8CQCU3KEUHG4SUOSWNEDUMUUVWNY","3HSQTUGQM2AKK76J15EGVP65ET09G1","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Sat Oct 19 21:43:08 PDT 2019","109","BatchId:3807388;OriginalHitTemplateId:928390811;","1800","604800","Sat Oct 26 21:43:08 PDT 2019","","","317HQ483I8M22T6IPDX926H2EBHNI3","A1YY9C43J4LJTF","Submitted","Sat Oct 19 21:48:58 PDT 2019","Sat Oct 19 21:50:22 PDT 2019","Sat Oct 26 21:50:22 PDT 2019","","","","84","50% (1/2)","50% (1/2)","50% (1/2)","5","4","1","1","3"
"3K8CQCU3KEUHG4SUOSWNEDUMUUVWNY","3HSQTUGQM2AKK76J15EGVP65ET09G1","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Sat Oct 19 21:43:08 PDT 2019","109","BatchId:3807388;OriginalHitTemplateId:928390811;","1800","604800","Sat Oct 26 21:43:08 PDT 2019","","","31HQ4X3T3T41876TICB8TGJ0IETLS1","A3RED3K9R7LB9R","Submitted","Sat Oct 19 23:30:25 PDT 2019","Sat Oct 19 23:31:52 PDT 2019","Sat Oct 26 23:31:52 PDT 2019","","","","87","0% (0/0)","0% (0/0)","0% (0/0)","5","5","2","2","5"
"3K8CQCU3KEUHG4SUOSWNEDUMUUVWNY","3HSQTUGQM2AKK76J15EGVP65ET09G1","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Sat Oct 19 21:43:08 PDT 2019","109","BatchId:3807388;OriginalHitTemplateId:928390811;","1800","604800","Sat Oct 26 21:43:08 PDT 2019","","","31IBVUNM9TTV07D1QWDF9QYNKM0FVU","A2S3T3LPFPMZJX","Submitted","Sat Oct 19 23:09:08 PDT 2019","Sat Oct 19 23:10:09 PDT 2019","Sat Oct 26 23:10:09 PDT 2019","","","","61","0% (0/0)","0% (0/0)","0% (0/0)","5","5","1","1","4"
"3K8CQCU3KEUHG4SUOSWNEDUMUUVWNY","3HSQTUGQM2AKK76J15EGVP65ET09G1","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Sat Oct 19 21:43:08 PDT 2019","109","BatchId:3807388;OriginalHitTemplateId:928390811;","1800","604800","Sat Oct 26 21:43:08 PDT 2019","","","31IBVUNM9TTV07D1QWDF9QYNKMTFVN","A185F8GKB23DAJ","Submitted","Sat Oct 19 22:03:25 PDT 2019","Sat Oct 19 22:04:00 PDT 2019","Sat Oct 26 22:04:00 PDT 2019","","","","35","0% (0/0)","0% (0/0)","0% (0/0)","5","5","1","1","5"
"3K8CQCU3KEUHG4SUOSWNEDUMUUVWNY","3HSQTUGQM2AKK76J15EGVP65ET09G1","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Sat Oct 19 21:43:08 PDT 2019","109","BatchId:3807388;OriginalHitTemplateId:928390811;","1800","604800","Sat Oct 26 21:43:08 PDT 2019","","","32M8BPYGAUGWS1PW29KECM85DZBGI4","A3MW8P9QLFY3SC","Submitted","Sun Oct 20 01:15:33 PDT 2019","Sun Oct 20 01:16:54 PDT 2019","Sun Oct 27 01:16:54 PDT 2019","","","","81","0% (0/0)","0% (0/0)","0% (0/0)","4","4","1","1","2"
"3K8CQCU3KEUHG4SUOSWNEDUMUUVWNY","3HSQTUGQM2AKK76J15EGVP65ET09G1","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Sat Oct 19 21:43:08 PDT 2019","109","BatchId:3807388;OriginalHitTemplateId:928390811;","1800","604800","Sat Oct 26 21:43:08 PDT 2019","","","32N49TQG3HC04GWTFGRNVPNWN6EAV3","AWS49CZW5Y9JK","Submitted","Sat Oct 19 21:47:13 PDT 2019","Sat Oct 19 21:47:32 PDT 2019","Sat Oct 26 21:47:32 PDT 2019","","","","19","0% (0/1)","0% (0/1)","0% (0/1)","5","5","1","1","3"
"3K8CQCU3KEUHG4SUOSWNEDUMUUVWNY","3HSQTUGQM2AKK76J15EGVP65ET09G1","How natural (i.e. human-sounding) is this recording?","How natural (i.e. human-sounding) is this recording?","audio, naturalness, rating","$0.05","Sat Oct 19 21:43:08 PDT 2019","109","BatchId:3807388;OriginalHitTemplateId:928390811;","1800","604800","Sat Oct 26 21:43:08 PDT 2019","","","337RC3OW06WH0ZNXC7GD4337HIGLVZ","A25VNYKP7SASYC","Submitted","Sat Oct 19 22:13:49 PDT 2019","Sat Oct 19 22:20:15 PDT 2019","Sat Oct 26 22:20:15 PDT 2019","","","","386","100% (1/1)","100% (1/1)","100% (1/1)","4","5","2","2","4"
